row_index,school_name,n_category,n_grade
781,Barry University,Value,B
782,Barry University,Diversity,A+
783,Barry University,Campus,C
784,Barry University,Athletics,B
785,Barry University,Party Scene,B-
786,Barry University,Professors,B+
787,Barry University,Location,B-
788,Barry University,Dorms,C-
789,Barry University,Campus Food,B
790,Barry University,Student Life,C+
791,Barry University,Safety,C+
792,Barton College,Academics,B
793,Barton College,Value,B
794,Barton College,Diversity,A
795,Barton College,Campus,C-
796,Barton College,Athletics,B+
797,Barton College,Party Scene,B-
798,Barton College,Professors,B
799,Barton College,Location,C-
800,Barton College,Dorms,B
801,Barton College,Campus Food,C+
802,Barton College,Student Life,B-
803,Barton College,Safety,A
804,Bates College,Academics,A+
805,Bates College,Value,A+
806,Bates College,Diversity,A
807,Bates College,Campus,A+
808,Bates College,Athletics,B
809,Bates College,Party Scene,B
810,Bates College,Professors,A+
811,Bates College,Location,C
812,Bates College,Dorms,A
813,Bates College,Campus Food,A+
814,Bates College,Student Life,A
815,Bates College,Safety,B-
