College,Uuid
Boise Bible College,ed60f5a2-cfb1-4c9a-9ebe-4b821b5af6aa
Boise State University,ee989ed8-524b-4a36-9e10-09c0c8274e3f
Bon Secours Memorial College of Nursing,066b8c28-c5ce-453e-ac1e-326b4dfeb32e
Boricua College,d421345a-9cca-4461-bf88-39dc16a0900b
Bossier Parish Community College,c94c9c0a-e44f-436a-96e8-b630a482211e
Boston Architectural College,ceb7f5f5-0567-4442-9d67-ea1a4a313394
Boston Baptist College,ed87d23a-b0af-4fcd-bd33-47d5d4bf0d0f
Boston College,6936eab7-0ffa-46c9-b51a-602348276537
Boston Graduate School of Psychoanalysis,23aa64cd-4c2f-4f23-8767-9d7c5f9b4d22
Boston University,50ab8efa-6fa1-415e-bcf8-566999e9e5f5
Bowdoin College,36c0c543-fda9-46a8-9e7d-03cc4805862f
Bowie State University,9345ec53-04a7-4e39-90ba-c916b9182cde
Bowling Green State University,ae6adb6f-0375-4baa-9e19-ba05caac2fcf
Bowling Green State University - Firelands,454fb957-e505-44cb-9e0b-7f76dd45eb25
Bradford School - Pittsburgh,0fcf1115-2fc9-4a5e-b9af-fb1e2d469049
Bradley University,7099c1c4-b34b-4969-9434-226a0a3a3933
Brandeis University,c0f4f6fe-075a-48e7-a9a5-9418b4eba920
Brandman University,fd18c3e1-6543-49b1-875e-1b774ce3c692
Branford Hall Career Institute - Branford,49ecc666-821d-485e-8f1c-18f37a97af29
Brazosport College,2af63bb7-b291-4731-a05f-951587fad510
Brenau University,3c9c8844-8f3d-4be8-91e6-4b34a7f9da09
Brescia University,e9157e3b-bed7-4d24-b753-8a8e4173d83f
Brevard College,525c72f3-2373-420a-a7e5-c48d9086e0ae
Brewster Technical Center,b9dffd37-af03-425a-8ff2-c4f08f012a2e
Brewton-Parker College,771dcc69-380e-419c-aa50-66dc6372bdc2
Briar Cliff University,584eb289-94a8-4bb9-9495-d8759a2b6188
Bridgerland Applied Technology College,37a3fa41-42a1-4044-a8e2-85fdb155e276
BridgeValley Community and Technical College,8f06f25b-0c95-4b7d-9f5a-779520eb9c02
Bridgewater College,9d9fdad7-4c08-4ec4-9972-89ed5f75bbcf
Bridgewater State University,04743cfb-a9a9-4fba-ad7f-96fec9f341fa
Brigham Young University,9d9a9977-4c96-45c6-8a12-b8be71a34936
Brigham Young University - Hawaii,2bbaaab0-e6bb-4b98-b5de-a768c4de5af2
Brigham Young University - Idaho,e10a097f-d982-484e-b167-7032f5e24440
Brightwood College,0fc71306-fbbc-4a51-bfb9-9dfa2ceb29f2
